Tanggal,Produk,Jumlah,Harga,Total Harga,Satuan
2022-07-24,Indomilk fc,38,130000,4940000,DUS
2022-07-25,Indomilk fc,46,130000,5980000,DUS
2022-07-26,Indomilk fc,,130000,,DUS
2022-07-27,Indomilk fc,78,130000,10140000,DUS
2022-07-28,Indomilk fc,,130000,,DUS
2022-07-29,Indomilk fc,107,130000,13910000,DUS
2022-07-30,Indomilk fc,89,130000,11570000,DUS
2022-07-31,Indomilk fc,41,130000,5330000,DUS
2022-08-01,Indomilk fc,35,130000,4550000,DUS
2022-08-02,Indomilk fc,43,130000,5590000,DUS
2022-08-03,Indomilk fc,65,130000,8450000,DUS
2022-08-04,Indomilk fc,81,130000,10530000,DUS
2022-08-05,Indomilk fc,,130000,,DUS
2022-08-06,Indomilk fc,82,130000,10660000,DUS
2022-08-07,Indomilk fc,,130000,,DUS
2022-08-08,Indomilk fc,36,130000,4680000,DUS
2022-08-09,Indomilk fc,41,130000,5330000,DUS
2022-08-10,Indomilk fc,64,130000,8320000,DUS
2022-08-11,Indomilk fc,86,130000,11180000,DUS
2022-08-12,Indomilk fc,98,130000,12740000,DUS
2022-08-13,Indomilk fc,82,130000,10660000,DUS
2022-08-14,Indomilk fc,34,130000,4420000,DUS
2022-08-15,Indomilk fc,40,130000,5200000,DUS
2022-08-16,Indomilk fc,48,130000,6240000,DUS
2022-08-17,Indomilk fc,61,130000,7930000,DUS
2022-08-18,Indomilk fc,81,130000,10530000,DUS
2022-08-19,Indomilk fc,96,130000,12480000,DUS
2022-08-20,Indomilk fc,75,130000,9750000,DUS
2022-08-21,Indomilk fc,27,130000,3510000,DUS
2022-08-22,Indomilk fc,,130000,,DUS
2022-08-23,Indomilk fc,,130000,,DUS
2022-08-24,Indomilk fc,67,130000,8710000,DUS
2022-08-25,Indomilk fc,90,130000,11700000,DUS
2022-08-26,Indomilk fc,104,130000,13520000,DUS
2022-08-27,Indomilk fc,90,130000,11700000,DUS
2022-08-28,Indomilk fc,41,130000,5330000,DUS
2022-08-29,Indomilk fc,40,130000,5200000,DUS
2022-08-30,Indomilk fc,51,130000,6630000,DUS
2022-08-31,Indomilk fc,,130000,,DUS
2022-09-01,Indomilk fc,78,130000,10140000,DUS
2022-09-02,Indomilk fc,,130000,,DUS
2022-09-03,Indomilk fc,,130000,,DUS
2022-09-04,Indomilk fc,,130000,,DUS
2022-09-05,Indomilk fc,27,130000,3510000,DUS
2022-09-06,Indomilk fc,42,130000,5460000,DUS
2022-09-07,Indomilk fc,65,130000,8450000,DUS
2022-09-08,Indomilk fc,,130000,,DUS
2022-09-09,Indomilk fc,,130000,,DUS
2022-09-10,Indomilk fc,75,130000,9750000,DUS
2022-09-11,Indomilk fc,,130000,,DUS
2022-09-12,Indomilk fc,31,130000,4030000,DUS
2022-09-13,Indomilk fc,45,130000,5850000,DUS
2022-09-14,Indomilk fc,61,130000,7930000,DUS
2022-09-15,Indomilk fc,,130000,,DUS
2022-09-16,Indomilk fc,91,130000,11830000,DUS
2022-09-17,Indomilk fc,74,130000,9620000,DUS
2022-09-18,Indomilk fc,35,130000,4550000,DUS
2022-09-19,Indomilk fc,32,130000,4160000,DUS
2022-09-20,Indomilk fc,42,130000,5460000,DUS
2022-09-21,Indomilk fc,65,130000,8450000,DUS
2022-09-22,Indomilk fc,,130000,,DUS
2022-09-23,Indomilk fc,88,130000,11440000,DUS
2022-09-24,Indomilk fc,73,130000,9490000,DUS
2022-09-25,Indomilk fc,41,130000,5330000,DUS
2022-09-26,Indomilk fc,41,130000,5330000,DUS
2022-09-27,Indomilk fc,53,130000,6890000,DUS
2022-09-28,Indomilk fc,77,130000,10010000,DUS
2022-09-29,Indomilk fc,88,130000,11440000,DUS
2022-09-30,Indomilk fc,101,130000,13130000,DUS
2022-10-01,Indomilk fc,,130000,,DUS
2022-10-02,Indomilk fc,,130000,,DUS
2022-10-03,Indomilk fc,29,130000,3770000,DUS
2022-10-04,Indomilk fc,37,130000,4810000,DUS
2022-10-05,Indomilk fc,56,130000,7280000,DUS
2022-10-06,Indomilk fc,,130000,,DUS
2022-10-07,Indomilk fc,90,130000,11700000,DUS
2022-10-08,Indomilk fc,76,130000,9880000,DUS
2022-10-09,Indomilk fc,25,130000,3250000,DUS
2022-10-10,Indomilk fc,33,130000,4290000,DUS
2022-10-11,Indomilk fc,36,130000,4680000,DUS
2022-10-12,Indomilk fc,59,130000,7670000,DUS
2022-10-13,Indomilk fc,77,130000,10010000,DUS
2022-10-14,Indomilk fc,89,130000,11570000,DUS
2022-10-15,Indomilk fc,77,130000,10010000,DUS
2022-10-16,Indomilk fc,35,130000,4550000,DUS
2022-10-17,Indomilk fc,,130000,,DUS
2022-10-18,Indomilk fc,,130000,,DUS
2022-10-19,Indomilk fc,59,130000,7670000,DUS
2022-10-20,Indomilk fc,67,130000,8710000,DUS
2022-10-21,Indomilk fc,,130000,,DUS
2022-10-22,Indomilk fc,74,130000,9620000,DUS
2022-10-23,Indomilk fc,33,130000,4290000,DUS
2022-10-24,Indomilk fc,,130000,,DUS
2022-10-25,Indomilk fc,52,130000,6760000,DUS
2022-10-26,Indomilk fc,65,130000,8450000,DUS
2022-10-27,Indomilk fc,83,130000,10790000,DUS
2022-10-28,Indomilk fc,95,130000,12350000,DUS
2022-10-29,Indomilk fc,79,130000,10270000,DUS
2022-10-30,Indomilk fc,30,130000,3900000,DUS
2022-10-31,Indomilk fc,30,130000,3900000,DUS
2022-11-01,Indomilk fc,38,130000,4940000,DUS
2022-11-02,Indomilk fc,57,130000,7410000,DUS
2022-11-03,Indomilk fc,70,130000,9100000,DUS
2022-11-04,Indomilk fc,,130000,,DUS
2022-11-05,Indomilk fc,71,130000,9230000,DUS
2022-11-06,Indomilk fc,24,130000,3120000,DUS
2022-11-07,Indomilk fc,26,130000,3380000,DUS
2022-11-08,Indomilk fc,41,130000,5330000,DUS
2022-11-09,Indomilk fc,59,130000,7670000,DUS
2022-11-10,Indomilk fc,75,130000,9750000,DUS
2022-11-11,Indomilk fc,,130000,,DUS
2022-11-12,Indomilk fc,,130000,,DUS
2022-11-13,Indomilk fc,29,130000,3770000,DUS
2022-11-14,Indomilk fc,,130000,,DUS
2022-11-15,Indomilk fc,41,130000,5330000,DUS
2022-11-16,Indomilk fc,,130000,,DUS
2022-11-17,Indomilk fc,73,130000,9490000,DUS
2022-11-18,Indomilk fc,91,130000,11830000,DUS
2022-11-19,Indomilk fc,77,130000,10010000,DUS
2022-11-20,Indomilk fc,30,130000,3900000,DUS
2022-11-21,Indomilk fc,,130000,,DUS
2022-11-22,Indomilk fc,44,130000,5720000,DUS
2022-11-23,Indomilk fc,58,130000,7540000,DUS
2022-11-24,Indomilk fc,70,130000,9100000,DUS
2022-11-25,Indomilk fc,101,130000,13130000,DUS
2022-11-26,Indomilk fc,86,130000,11180000,DUS
2022-11-27,Indomilk fc,44,130000,5720000,DUS
2022-11-28,Indomilk fc,41,130000,5330000,DUS
2022-11-29,Indomilk fc,47,130000,6110000,DUS
2022-11-30,Indomilk fc,,130000,,DUS
2022-12-01,Indomilk fc,73,130000,9490000,DUS
2022-12-02,Indomilk fc,78,130000,10140000,DUS
2022-12-03,Indomilk fc,64,130000,8320000,DUS
2022-12-04,Indomilk fc,,130000,,DUS
2022-12-05,Indomilk fc,21,130000,2730000,DUS
2022-12-06,Indomilk fc,34,130000,4420000,DUS
2022-12-07,Indomilk fc,55,130000,7150000,DUS
2022-12-08,Indomilk fc,70,130000,9100000,DUS
2022-12-09,Indomilk fc,85,130000,11050000,DUS
2022-12-10,Indomilk fc,73,130000,9490000,DUS
2022-12-11,Indomilk fc,,130000,,DUS
2022-12-12,Indomilk fc,28,130000,3640000,DUS
2022-12-13,Indomilk fc,42,130000,5460000,DUS
2022-12-14,Indomilk fc,49,130000,6370000,DUS
2022-12-15,Indomilk fc,,130000,,DUS
2022-12-16,Indomilk fc,,130000,,DUS
2022-12-17,Indomilk fc,71,130000,9230000,DUS
2022-12-18,Indomilk fc,28,130000,3640000,DUS
2022-12-19,Indomilk fc,,130000,,DUS
2022-12-20,Indomilk fc,,130000,,DUS
2022-12-21,Indomilk fc,68,130000,8840000,DUS
2022-12-22,Indomilk fc,76,130000,9880000,DUS
2022-12-23,Indomilk fc,,130000,,DUS
2022-12-24,Indomilk fc,73,130000,9490000,DUS
2022-12-25,Indomilk fc,37,130000,4810000,DUS
2022-12-26,Indomilk fc,36,130000,4680000,DUS
2022-12-27,Indomilk fc,,130000,,DUS
2022-12-28,Indomilk fc,72,130000,9360000,DUS
2022-12-29,Indomilk fc,81,130000,10530000,DUS
2022-12-30,Indomilk fc,102,130000,13260000,DUS
2022-12-31,Indomilk fc,,130000,,DUS
2023-01-01,Indomilk fc,27,130000,3510000,DUS
2023-01-02,Indomilk fc,24,130000,3120000,DUS
2023-01-03,Indomilk fc,39,130000,5070000,DUS
2023-01-04,Indomilk fc,62,130000,8060000,DUS
2023-01-05,Indomilk fc,72,130000,9360000,DUS
2023-01-06,Indomilk fc,91,130000,11830000,DUS
2023-01-07,Indomilk fc,,130000,,DUS
2023-01-08,Indomilk fc,26,130000,3380000,DUS
2023-01-09,Indomilk fc,,130000,,DUS
2023-01-10,Indomilk fc,42,130000,5460000,DUS
2023-01-11,Indomilk fc,57,130000,7410000,DUS
2023-01-12,Indomilk fc,74,130000,9620000,DUS
2023-01-13,Indomilk fc,86,130000,11180000,DUS
2023-01-14,Indomilk fc,71,130000,9230000,DUS
2023-01-15,Indomilk fc,23,130000,2990000,DUS
2023-01-16,Indomilk fc,22,130000,2860000,DUS
2023-01-17,Indomilk fc,35,130000,4550000,DUS
2023-01-18,Indomilk fc,55,130000,7150000,DUS
2023-01-19,Indomilk fc,73,130000,9490000,DUS
2023-01-20,Indomilk fc,89,130000,11570000,DUS
2023-01-21,Indomilk fc,77,130000,10010000,DUS
2023-01-22,Indomilk fc,24,130000,3120000,DUS
2023-01-23,Indomilk fc,30,130000,3900000,DUS
2023-01-24,Indomilk fc,44,130000,5720000,DUS
2023-01-25,Indomilk fc,,130000,,DUS
2023-01-26,Indomilk fc,91,130000,11830000,DUS
2023-01-27,Indomilk fc,102,130000,13260000,DUS
2023-01-28,Indomilk fc,85,130000,11050000,DUS
2023-01-29,Indomilk fc,44,130000,5720000,DUS
2023-01-30,Indomilk fc,39,130000,5070000,DUS
2023-01-31,Indomilk fc,56,130000,7280000,DUS
2023-02-01,Indomilk fc,64,130000,8320000,DUS
2023-02-02,Indomilk fc,,130000,,DUS
2023-02-03,Indomilk fc,,130000,,DUS
2023-02-04,Indomilk fc,,130000,,DUS
2023-02-05,Indomilk fc,28,130000,3640000,DUS
2023-02-06,Indomilk fc,30,130000,3900000,DUS
2023-02-07,Indomilk fc,,130000,,DUS
2023-02-08,Indomilk fc,,130000,,DUS
2023-02-09,Indomilk fc,,130000,,DUS
2023-02-10,Indomilk fc,96,130000,12480000,DUS
2023-02-11,Indomilk fc,79,130000,10270000,DUS
2023-02-12,Indomilk fc,,130000,,DUS
2023-02-13,Indomilk fc,28,130000,3640000,DUS
2023-02-14,Indomilk fc,44,130000,5720000,DUS
2023-02-15,Indomilk fc,66,130000,8580000,DUS
2023-02-16,Indomilk fc,78,130000,10140000,DUS
2023-02-17,Indomilk fc,,130000,,DUS
2023-02-18,Indomilk fc,87,130000,11310000,DUS
2023-02-19,Indomilk fc,32,130000,4160000,DUS
2023-02-20,Indomilk fc,28,130000,3640000,DUS
2023-02-21,Indomilk fc,45,130000,5850000,DUS
2023-02-22,Indomilk fc,65,130000,8450000,DUS
2023-02-23,Indomilk fc,76,130000,9880000,DUS
2023-02-24,Indomilk fc,93,130000,12090000,DUS
2023-02-25,Indomilk fc,85,130000,11050000,DUS
2023-02-26,Indomilk fc,36,130000,4680000,DUS
2023-02-27,Indomilk fc,39,130000,5070000,DUS
2023-02-28,Indomilk fc,50,130000,6500000,DUS
2023-03-01,Indomilk fc,62,130000,8060000,DUS
2023-03-02,Indomilk fc,89,130000,11570000,DUS
2023-03-03,Indomilk fc,,130000,,DUS
2023-03-04,Indomilk fc,,130000,,DUS
2023-03-05,Indomilk fc,36,130000,4680000,DUS
2023-03-06,Indomilk fc,35,130000,4550000,DUS
2023-03-07,Indomilk fc,46,130000,5980000,DUS
2023-03-08,Indomilk fc,51,130000,6630000,DUS
2023-03-09,Indomilk fc,80,130000,10400000,DUS
2023-03-10,Indomilk fc,100,130000,13000000,DUS
2023-03-11,Indomilk fc,,130000,,DUS
2023-03-12,Indomilk fc,38,130000,4940000,DUS
2023-03-13,Indomilk fc,,130000,,DUS
2023-03-14,Indomilk fc,54,130000,7020000,DUS
2023-03-15,Indomilk fc,73,130000,9490000,DUS
2023-03-16,Indomilk fc,82,130000,10660000,DUS
2023-03-17,Indomilk fc,99,130000,12870000,DUS
2023-03-18,Indomilk fc,80,130000,10400000,DUS
2023-03-19,Indomilk fc,,130000,,DUS
2023-03-20,Indomilk fc,,130000,,DUS
2023-03-21,Indomilk fc,,130000,,DUS
2023-03-22,Indomilk fc,,130000,,DUS
2023-03-23,Indomilk fc,86,130000,11180000,DUS
2023-03-24,Indomilk fc,95,130000,12350000,DUS
2023-03-25,Indomilk fc,,130000,,DUS
2023-03-26,Indomilk fc,46,130000,5980000,DUS
2023-03-27,Indomilk fc,,130000,,DUS
2023-03-28,Indomilk fc,51,130000,6630000,DUS
2023-03-29,Indomilk fc,71,130000,9230000,DUS
2023-03-30,Indomilk fc,93,130000,12090000,DUS
2023-03-31,Indomilk fc,,130000,,DUS
2023-04-01,Indomilk fc,,130000,,DUS
2023-04-02,Indomilk fc,37,130000,4810000,DUS
2023-04-03,Indomilk fc,37,130000,4810000,DUS
2023-04-04,Indomilk fc,,130000,,DUS
2023-04-05,Indomilk fc,71,130000,9230000,DUS
2023-04-06,Indomilk fc,83,130000,10790000,DUS
2023-04-07,Indomilk fc,106,130000,13780000,DUS
2023-04-08,Indomilk fc,88,130000,11440000,DUS
2023-04-09,Indomilk fc,39,130000,5070000,DUS
2023-04-10,Indomilk fc,41,130000,5330000,DUS
2023-04-11,Indomilk fc,50,130000,6500000,DUS
2023-04-12,Indomilk fc,71,130000,9230000,DUS
2023-04-13,Indomilk fc,83,130000,10790000,DUS
2023-04-14,Indomilk fc,103,130000,13390000,DUS
2023-04-15,Indomilk fc,,130000,,DUS
2023-04-16,Indomilk fc,41,130000,5330000,DUS
2023-04-17,Indomilk fc,,130000,,DUS
2023-04-18,Indomilk fc,56,130000,7280000,DUS
2023-04-19,Indomilk fc,70,130000,9100000,DUS
2023-04-20,Indomilk fc,81,130000,10530000,DUS
2023-04-21,Indomilk fc,,130000,,DUS
2023-04-22,Indomilk fc,84,130000,10920000,DUS
2023-04-23,Indomilk fc,43,130000,5590000,DUS
2023-04-24,Indomilk fc,41,130000,5330000,DUS
2023-04-25,Indomilk fc,61,130000,7930000,DUS
2023-04-26,Indomilk fc,85,130000,11050000,DUS
2023-04-27,Indomilk fc,94,130000,12220000,DUS
2023-04-28,Indomilk fc,106,130000,13780000,DUS
2023-04-29,Indomilk fc,97,130000,12610000,DUS
2023-04-30,Indomilk fc,55,130000,7150000,DUS
2023-05-01,Indomilk fc,,130000,,DUS
2023-05-02,Indomilk fc,55,130000,7150000,DUS
2023-05-03,Indomilk fc,78,130000,10140000,DUS
2023-05-04,Indomilk fc,,130000,,DUS
2023-05-05,Indomilk fc,97,130000,12610000,DUS
2023-05-06,Indomilk fc,86,130000,11180000,DUS
2023-05-07,Indomilk fc,40,130000,5200000,DUS
2023-05-08,Indomilk fc,41,130000,5330000,DUS
2023-05-09,Indomilk fc,59,130000,7670000,DUS
2023-05-10,Indomilk fc,76,130000,9880000,DUS
2023-05-11,Indomilk fc,99,130000,12870000,DUS
2023-05-12,Indomilk fc,,130000,,DUS
2023-05-13,Indomilk fc,,130000,,DUS
2023-05-14,Indomilk fc,42,130000,5460000,DUS
2023-05-15,Indomilk fc,,130000,,DUS
2023-05-16,Indomilk fc,50,130000,6500000,DUS
2023-05-17,Indomilk fc,71,130000,9230000,DUS
2023-05-18,Indomilk fc,88,130000,11440000,DUS
2023-05-19,Indomilk fc,105,130000,13650000,DUS
2023-05-20,Indomilk fc,89,130000,11570000,DUS
2023-05-21,Indomilk fc,42,130000,5460000,DUS
2023-05-22,Indomilk fc,43,130000,5590000,DUS
2023-05-23,Indomilk fc,55,130000,7150000,DUS
2023-05-24,Indomilk fc,73,130000,9490000,DUS
2023-05-25,Indomilk fc,102,130000,13260000,DUS
2023-05-26,Indomilk fc,112,130000,14560000,DUS
2023-05-27,Indomilk fc,98,130000,12740000,DUS
2023-05-28,Indomilk fc,51,130000,6630000,DUS
2023-05-29,Indomilk fc,48,130000,6240000,DUS
2023-05-30,Indomilk fc,61,130000,7930000,DUS
2023-05-31,Indomilk fc,82,130000,10660000,DUS
2023-06-01,Indomilk fc,81,130000,10530000,DUS
2023-06-02,Indomilk fc,102,130000,13260000,DUS
2023-06-03,Indomilk fc,85,130000,11050000,DUS
2023-06-04,Indomilk fc,54,130000,7020000,DUS
2023-06-05,Indomilk fc,45,130000,5850000,DUS
2023-06-06,Indomilk fc,54,130000,7020000,DUS
2023-06-07,Indomilk fc,,130000,,DUS
2023-06-08,Indomilk fc,90,130000,11700000,DUS
2023-06-09,Indomilk fc,107,130000,13910000,DUS
2023-06-10,Indomilk fc,90,130000,11700000,DUS
2023-06-11,Indomilk fc,41,130000,5330000,DUS
2023-06-12,Indomilk fc,39,130000,5070000,DUS
2023-06-13,Indomilk fc,,130000,,DUS
2023-06-14,Indomilk fc,,130000,,DUS
2023-06-15,Indomilk fc,88,130000,11440000,DUS
2023-06-16,Indomilk fc,104,130000,13520000,DUS
2023-06-17,Indomilk fc,82,130000,10660000,DUS
2023-06-18,Indomilk fc,37,130000,4810000,DUS
2023-06-19,Indomilk fc,42,130000,5460000,DUS
2023-06-20,Indomilk fc,56,130000,7280000,DUS
2023-06-21,Indomilk fc,79,130000,10270000,DUS
2023-06-22,Indomilk fc,93,130000,12090000,DUS
2023-06-23,Indomilk fc,,130000,,DUS
2023-06-24,Indomilk fc,94,130000,12220000,DUS
2023-06-25,Indomilk fc,,130000,,DUS
2023-06-26,Indomilk fc,51,130000,6630000,DUS
2023-06-27,Indomilk fc,,130000,,DUS
2023-06-28,Indomilk fc,85,130000,11050000,DUS
2023-06-29,Indomilk fc,,130000,,DUS
2023-06-30,Indomilk fc,,130000,,DUS
2023-07-01,Indomilk fc,,130000,,DUS
2023-07-02,Indomilk fc,42,130000,5460000,DUS
2023-07-03,Indomilk fc,42,130000,5460000,DUS
2023-07-04,Indomilk fc,56,130000,7280000,DUS
2023-07-05,Indomilk fc,75,130000,9750000,DUS
2023-07-06,Indomilk fc,,130000,,DUS
2023-07-07,Indomilk fc,,130000,,DUS
2023-07-08,Indomilk fc,85,130000,11050000,DUS
2023-07-09,Indomilk fc,,130000,,DUS
2023-07-10,Indomilk fc,41,130000,5330000,DUS
2023-07-11,Indomilk fc,61,130000,7930000,DUS
2023-07-12,Indomilk fc,75,130000,9750000,DUS
2023-07-13,Indomilk fc,99,130000,12870000,DUS
2023-07-14,Indomilk fc,110,130000,14300000,DUS
2023-07-15,Indomilk fc,88,130000,11440000,DUS
2023-07-16,Indomilk fc,,130000,,DUS
2023-07-17,Indomilk fc,44,130000,5720000,DUS
2023-07-18,Indomilk fc,57,130000,7410000,DUS
2023-07-19,Indomilk fc,,130000,,DUS
2023-07-20,Indomilk fc,93,130000,12090000,DUS
2023-07-21,Indomilk fc,,130000,,DUS
2023-07-22,Indomilk fc,,130000,,DUS
2023-07-23,Indomilk fc,,130000,,DUS
2023-07-24,Indomilk fc,39,130000,5070000,DUS
2023-07-25,Indomilk fc,,130000,,DUS
2023-07-26,Indomilk fc,86,130000,11180000,DUS
2023-07-27,Indomilk fc,,130000,,DUS
2023-07-28,Indomilk fc,111,130000,14430000,DUS
2023-07-29,Indomilk fc,97,130000,12610000,DUS
2023-07-30,Indomilk fc,,130000,,DUS
2023-07-31,Indomilk fc,50,130000,6500000,DUS
2023-08-01,Indomilk fc,53,130000,6890000,DUS
2023-08-02,Indomilk fc,70,130000,9100000,DUS
2023-08-03,Indomilk fc,,130000,,DUS
2023-08-04,Indomilk fc,114,130000,14820000,DUS
2023-08-05,Indomilk fc,93,130000,12090000,DUS
2023-08-06,Indomilk fc,41,130000,5330000,DUS
2023-08-07,Indomilk fc,39,130000,5070000,DUS
2023-08-08,Indomilk fc,,130000,,DUS
2023-08-09,Indomilk fc,73,130000,9490000,DUS
2023-08-10,Indomilk fc,88,130000,11440000,DUS
2023-08-11,Indomilk fc,104,130000,13520000,DUS
2023-08-12,Indomilk fc,,130000,,DUS
2023-08-13,Indomilk fc,37,130000,4810000,DUS
2023-08-14,Indomilk fc,39,130000,5070000,DUS
2023-08-15,Indomilk fc,52,130000,6760000,DUS
2023-08-16,Indomilk fc,65,130000,8450000,DUS
2023-08-17,Indomilk fc,80,130000,10400000,DUS
2023-08-18,Indomilk fc,,130000,,DUS
2023-08-19,Indomilk fc,81,130000,10530000,DUS
2023-08-20,Indomilk fc,38,130000,4940000,DUS
2023-08-21,Indomilk fc,,130000,,DUS
2023-08-22,Indomilk fc,,130000,,DUS
2023-08-23,Indomilk fc,72,130000,9360000,DUS
2023-08-24,Indomilk fc,88,130000,11440000,DUS
2023-08-25,Indomilk fc,115,130000,14950000,DUS
2023-08-26,Indomilk fc,,130000,,DUS
2023-08-27,Indomilk fc,52,130000,6760000,DUS
2023-08-28,Indomilk fc,52,130000,6760000,DUS
2023-08-29,Indomilk fc,61,130000,7930000,DUS
2023-08-30,Indomilk fc,,130000,,DUS
2023-08-31,Indomilk fc,,130000,,DUS
2023-09-01,Indomilk fc,99,130000,12870000,DUS
2023-09-02,Indomilk fc,84,130000,10920000,DUS
2023-09-03,Indomilk fc,,130000,,DUS
2023-09-04,Indomilk fc,,130000,,DUS
2023-09-05,Indomilk fc,48,130000,6240000,DUS
2023-09-06,Indomilk fc,64,130000,8320000,DUS
2023-09-07,Indomilk fc,88,130000,11440000,DUS
2023-09-08,Indomilk fc,103,130000,13390000,DUS
2023-09-09,Indomilk fc,86,130000,11180000,DUS
2023-09-10,Indomilk fc,40,130000,5200000,DUS
2023-09-11,Indomilk fc,44,130000,5720000,DUS
2023-09-12,Indomilk fc,,130000,,DUS
2023-09-13,Indomilk fc,,130000,,DUS
2023-09-14,Indomilk fc,77,130000,10010000,DUS
2023-09-15,Indomilk fc,,130000,,DUS
2023-09-16,Indomilk fc,,130000,,DUS
2023-09-17,Indomilk fc,39,130000,5070000,DUS
2023-09-18,Indomilk fc,38,130000,4940000,DUS
2023-09-19,Indomilk fc,45,130000,5850000,DUS
2023-09-20,Indomilk fc,63,130000,8190000,DUS
2023-09-21,Indomilk fc,81,130000,10530000,DUS
2023-09-22,Indomilk fc,96,130000,12480000,DUS
2023-09-23,Indomilk fc,78,130000,10140000,DUS
2023-09-24,Indomilk fc,,130000,,DUS
2023-09-25,Indomilk fc,,130000,,DUS
2023-09-26,Indomilk fc,59,130000,7670000,DUS
2023-09-27,Indomilk fc,76,130000,9880000,DUS
2023-09-28,Indomilk fc,94,130000,12220000,DUS
2023-09-29,Indomilk fc,107,130000,13910000,DUS
2023-09-30,Indomilk fc,90,130000,11700000,DUS
2023-10-01,Indomilk fc,34,130000,4420000,DUS
2023-10-02,Indomilk fc,31,130000,4030000,DUS
2023-10-03,Indomilk fc,43,130000,5590000,DUS
2023-10-04,Indomilk fc,65,130000,8450000,DUS
2023-10-05,Indomilk fc,,130000,,DUS
2023-10-06,Indomilk fc,,130000,,DUS
2023-10-07,Indomilk fc,76,130000,9880000,DUS
2023-10-08,Indomilk fc,,130000,,DUS
2023-10-09,Indomilk fc,31,130000,4030000,DUS
2023-10-10,Indomilk fc,42,130000,5460000,DUS
2023-10-11,Indomilk fc,,130000,,DUS
2023-10-12,Indomilk fc,79,130000,10270000,DUS
2023-10-13,Indomilk fc,95,130000,12350000,DUS
2023-10-14,Indomilk fc,81,130000,10530000,DUS
2023-10-15,Indomilk fc,,130000,,DUS
2023-10-16,Indomilk fc,34,130000,4420000,DUS
2023-10-17,Indomilk fc,49,130000,6370000,DUS
2023-10-18,Indomilk fc,61,130000,7930000,DUS
2023-10-19,Indomilk fc,,130000,,DUS
2023-10-20,Indomilk fc,92,130000,11960000,DUS
2023-10-21,Indomilk fc,,130000,,DUS
2023-10-22,Indomilk fc,33,130000,4290000,DUS
2023-10-23,Indomilk fc,32,130000,4160000,DUS
2023-10-24,Indomilk fc,45,130000,5850000,DUS
2023-10-25,Indomilk fc,,130000,,DUS
2023-10-26,Indomilk fc,90,130000,11700000,DUS
2023-10-27,Indomilk fc,101,130000,13130000,DUS
2023-10-28,Indomilk fc,92,130000,11960000,DUS
