Tanggal,Produk,Jumlah,Satuan
2022-07-24,Jeruk DR,205,KG
2022-07-25,Jeruk DR,205,KG
2022-07-26,Jeruk DR,,KG
2022-07-27,Jeruk DR,,KG
2022-07-28,Jeruk DR,382,KG
2022-07-29,Jeruk DR,453,KG
2022-07-30,Jeruk DR,420,KG
2022-07-31,Jeruk DR,,KG
2022-08-01,Jeruk DR,231,KG
2022-08-02,Jeruk DR,238,KG
2022-08-03,Jeruk DR,,KG
2022-08-04,Jeruk DR,380,KG
2022-08-05,Jeruk DR,425,KG
2022-08-06,Jeruk DR,,KG
2022-08-07,Jeruk DR,203,KG
2022-08-08,Jeruk DR,210,KG
2022-08-09,Jeruk DR,,KG
2022-08-10,Jeruk DR,302,KG
2022-08-11,Jeruk DR,378,KG
2022-08-12,Jeruk DR,,KG
2022-08-13,Jeruk DR,364,KG
2022-08-14,Jeruk DR,,KG
2022-08-15,Jeruk DR,218,KG
2022-08-16,Jeruk DR,244,KG
2022-08-17,Jeruk DR,302,KG
2022-08-18,Jeruk DR,326,KG
2022-08-19,Jeruk DR,405,KG
2022-08-20,Jeruk DR,,KG
2022-08-21,Jeruk DR,196,KG
2022-08-22,Jeruk DR,202,KG
2022-08-23,Jeruk DR,,KG
2022-08-24,Jeruk DR,,KG
2022-08-25,Jeruk DR,402,KG
2022-08-26,Jeruk DR,448,KG
2022-08-27,Jeruk DR,,KG
2022-08-28,Jeruk DR,228,KG
2022-08-29,Jeruk DR,194,KG
2022-08-30,Jeruk DR,239,KG
2022-08-31,Jeruk DR,339,KG
2022-09-01,Jeruk DR,368,KG
2022-09-02,Jeruk DR,409,KG
2022-09-03,Jeruk DR,310,KG
2022-09-04,Jeruk DR,172,KG
2022-09-05,Jeruk DR,,KG
2022-09-06,Jeruk DR,216,KG
2022-09-07,Jeruk DR,288,KG
2022-09-08,Jeruk DR,,KG
2022-09-09,Jeruk DR,398,KG
2022-09-10,Jeruk DR,339,KG
2022-09-11,Jeruk DR,208,KG
2022-09-12,Jeruk DR,212,KG
2022-09-13,Jeruk DR,231,KG
2022-09-14,Jeruk DR,308,KG
2022-09-15,Jeruk DR,,KG
2022-09-16,Jeruk DR,,KG
2022-09-17,Jeruk DR,345,KG
2022-09-18,Jeruk DR,205,KG
2022-09-19,Jeruk DR,195,KG
2022-09-20,Jeruk DR,219,KG
2022-09-21,Jeruk DR,289,KG
2022-09-22,Jeruk DR,,KG
2022-09-23,Jeruk DR,404,KG
2022-09-24,Jeruk DR,348,KG
2022-09-25,Jeruk DR,228,KG
2022-09-26,Jeruk DR,208,KG
2022-09-27,Jeruk DR,241,KG
2022-09-28,Jeruk DR,330,KG
2022-09-29,Jeruk DR,410,KG
2022-09-30,Jeruk DR,,KG
2022-10-01,Jeruk DR,,KG
2022-10-02,Jeruk DR,200,KG
2022-10-03,Jeruk DR,,KG
2022-10-04,Jeruk DR,213,KG
2022-10-05,Jeruk DR,283,KG
2022-10-06,Jeruk DR,342,KG
2022-10-07,Jeruk DR,,KG
2022-10-08,Jeruk DR,,KG
2022-10-09,Jeruk DR,,KG
2022-10-10,Jeruk DR,194,KG
2022-10-11,Jeruk DR,186,KG
2022-10-12,Jeruk DR,,KG
2022-10-13,Jeruk DR,340,KG
2022-10-14,Jeruk DR,393,KG
2022-10-15,Jeruk DR,,KG
2022-10-16,Jeruk DR,197,KG
2022-10-17,Jeruk DR,197,KG
2022-10-18,Jeruk DR,206,KG
2022-10-19,Jeruk DR,278,KG
2022-10-20,Jeruk DR,326,KG
2022-10-21,Jeruk DR,392,KG
2022-10-22,Jeruk DR,329,KG
2022-10-23,Jeruk DR,,KG
2022-10-24,Jeruk DR,188,KG
2022-10-25,Jeruk DR,278,KG
2022-10-26,Jeruk DR,336,KG
2022-10-27,Jeruk DR,,KG
2022-10-28,Jeruk DR,401,KG
2022-10-29,Jeruk DR,,KG
2022-10-30,Jeruk DR,,KG
2022-10-31,Jeruk DR,204,KG
2022-11-01,Jeruk DR,190,KG
2022-11-02,Jeruk DR,285,KG
2022-11-03,Jeruk DR,311,KG
2022-11-04,Jeruk DR,,KG
2022-11-05,Jeruk DR,337,KG
2022-11-06,Jeruk DR,192,KG
2022-11-07,Jeruk DR,179,KG
2022-11-08,Jeruk DR,,KG
2022-11-09,Jeruk DR,281,KG
2022-11-10,Jeruk DR,332,KG
2022-11-11,Jeruk DR,387,KG
2022-11-12,Jeruk DR,341,KG
2022-11-13,Jeruk DR,195,KG
2022-11-14,Jeruk DR,194,KG
2022-11-15,Jeruk DR,,KG
2022-11-16,Jeruk DR,,KG
2022-11-17,Jeruk DR,351,KG
2022-11-18,Jeruk DR,,KG
2022-11-19,Jeruk DR,349,KG
2022-11-20,Jeruk DR,,KG
2022-11-21,Jeruk DR,191,KG
2022-11-22,Jeruk DR,198,KG
2022-11-23,Jeruk DR,285,KG
2022-11-24,Jeruk DR,327,KG
2022-11-25,Jeruk DR,,KG
2022-11-26,Jeruk DR,,KG
2022-11-27,Jeruk DR,198,KG
2022-11-28,Jeruk DR,226,KG
2022-11-29,Jeruk DR,234,KG
2022-11-30,Jeruk DR,,KG
2022-12-01,Jeruk DR,319,KG
2022-12-02,Jeruk DR,,KG
2022-12-03,Jeruk DR,337,KG
2022-12-04,Jeruk DR,196,KG
2022-12-05,Jeruk DR,184,KG
2022-12-06,Jeruk DR,192,KG
2022-12-07,Jeruk DR,,KG
2022-12-08,Jeruk DR,,KG
2022-12-09,Jeruk DR,389,KG
2022-12-10,Jeruk DR,320,KG
2022-12-11,Jeruk DR,185,KG
2022-12-12,Jeruk DR,,KG
2022-12-13,Jeruk DR,,KG
2022-12-14,Jeruk DR,,KG
2022-12-15,Jeruk DR,336,KG
2022-12-16,Jeruk DR,383,KG
2022-12-17,Jeruk DR,,KG
2022-12-18,Jeruk DR,172,KG
2022-12-19,Jeruk DR,185,KG
2022-12-20,Jeruk DR,224,KG
2022-12-21,Jeruk DR,309,KG
2022-12-22,Jeruk DR,372,KG
2022-12-23,Jeruk DR,394,KG
2022-12-24,Jeruk DR,,KG
2022-12-25,Jeruk DR,238,KG
2022-12-26,Jeruk DR,215,KG
2022-12-27,Jeruk DR,234,KG
2022-12-28,Jeruk DR,317,KG
2022-12-29,Jeruk DR,,KG
2022-12-30,Jeruk DR,,KG
2022-12-31,Jeruk DR,,KG
2023-01-01,Jeruk DR,187,KG
2023-01-02,Jeruk DR,194,KG
2023-01-03,Jeruk DR,207,KG
2023-01-04,Jeruk DR,284,KG
2023-01-05,Jeruk DR,350,KG
2023-01-06,Jeruk DR,385,KG
2023-01-07,Jeruk DR,,KG
2023-01-08,Jeruk DR,179,KG
2023-01-09,Jeruk DR,183,KG
2023-01-10,Jeruk DR,213,KG
2023-01-11,Jeruk DR,285,KG
2023-01-12,Jeruk DR,357,KG
2023-01-13,Jeruk DR,406,KG
2023-01-14,Jeruk DR,338,KG
2023-01-15,Jeruk DR,199,KG
2023-01-16,Jeruk DR,,KG
2023-01-17,Jeruk DR,188,KG
2023-01-18,Jeruk DR,,KG
2023-01-19,Jeruk DR,,KG
2023-01-20,Jeruk DR,402,KG
2023-01-21,Jeruk DR,,KG
2023-01-22,Jeruk DR,184,KG
2023-01-23,Jeruk DR,183,KG
2023-01-24,Jeruk DR,188,KG
2023-01-25,Jeruk DR,329,KG
2023-01-26,Jeruk DR,362,KG
2023-01-27,Jeruk DR,418,KG
2023-01-28,Jeruk DR,,KG
2023-01-29,Jeruk DR,235,KG
2023-01-30,Jeruk DR,,KG
2023-01-31,Jeruk DR,,KG
2023-02-01,Jeruk DR,,KG
2023-02-02,Jeruk DR,355,KG
2023-02-03,Jeruk DR,397,KG
2023-02-04,Jeruk DR,352,KG
2023-02-05,Jeruk DR,206,KG
2023-02-06,Jeruk DR,208,KG
2023-02-07,Jeruk DR,,KG
2023-02-08,Jeruk DR,,KG
2023-02-09,Jeruk DR,356,KG
2023-02-10,Jeruk DR,427,KG
2023-02-11,Jeruk DR,304,KG
2023-02-12,Jeruk DR,,KG
2023-02-13,Jeruk DR,,KG
2023-02-14,Jeruk DR,,KG
2023-02-15,Jeruk DR,,KG
2023-02-16,Jeruk DR,347,KG
2023-02-17,Jeruk DR,391,KG
2023-02-18,Jeruk DR,348,KG
2023-02-19,Jeruk DR,,KG
2023-02-20,Jeruk DR,225,KG
2023-02-21,Jeruk DR,224,KG
2023-02-22,Jeruk DR,322,KG
2023-02-23,Jeruk DR,387,KG
2023-02-24,Jeruk DR,,KG
2023-02-25,Jeruk DR,404,KG
2023-02-26,Jeruk DR,,KG
2023-02-27,Jeruk DR,255,KG
2023-02-28,Jeruk DR,267,KG
2023-03-01,Jeruk DR,310,KG
2023-03-02,Jeruk DR,368,KG
2023-03-03,Jeruk DR,,KG
2023-03-04,Jeruk DR,371,KG
2023-03-05,Jeruk DR,217,KG
2023-03-06,Jeruk DR,221,KG
2023-03-07,Jeruk DR,235,KG
2023-03-08,Jeruk DR,,KG
2023-03-09,Jeruk DR,,KG
2023-03-10,Jeruk DR,425,KG
2023-03-11,Jeruk DR,,KG
2023-03-12,Jeruk DR,219,KG
2023-03-13,Jeruk DR,220,KG
2023-03-14,Jeruk DR,229,KG
2023-03-15,Jeruk DR,309,KG
2023-03-16,Jeruk DR,358,KG
2023-03-17,Jeruk DR,,KG
2023-03-18,Jeruk DR,,KG
2023-03-19,Jeruk DR,224,KG
2023-03-20,Jeruk DR,220,KG
2023-03-21,Jeruk DR,254,KG
2023-03-22,Jeruk DR,320,KG
2023-03-23,Jeruk DR,378,KG
2023-03-24,Jeruk DR,,KG
2023-03-25,Jeruk DR,391,KG
2023-03-26,Jeruk DR,,KG
2023-03-27,Jeruk DR,250,KG
2023-03-28,Jeruk DR,274,KG
2023-03-29,Jeruk DR,,KG
2023-03-30,Jeruk DR,398,KG
2023-03-31,Jeruk DR,457,KG
2023-04-01,Jeruk DR,362,KG
2023-04-02,Jeruk DR,211,KG
2023-04-03,Jeruk DR,,KG
2023-04-04,Jeruk DR,262,KG
2023-04-05,Jeruk DR,333,KG
2023-04-06,Jeruk DR,380,KG
2023-04-07,Jeruk DR,436,KG
2023-04-08,Jeruk DR,,KG
2023-04-09,Jeruk DR,222,KG
2023-04-10,Jeruk DR,,KG
2023-04-11,Jeruk DR,246,KG
2023-04-12,Jeruk DR,329,KG
2023-04-13,Jeruk DR,,KG
2023-04-14,Jeruk DR,463,KG
2023-04-15,Jeruk DR,,KG
2023-04-16,Jeruk DR,233,KG
2023-04-17,Jeruk DR,,KG
2023-04-18,Jeruk DR,264,KG
2023-04-19,Jeruk DR,330,KG
2023-04-20,Jeruk DR,393,KG
2023-04-21,Jeruk DR,466,KG
2023-04-22,Jeruk DR,345,KG
2023-04-23,Jeruk DR,224,KG
2023-04-24,Jeruk DR,229,KG
2023-04-25,Jeruk DR,282,KG
2023-04-26,Jeruk DR,,KG
2023-04-27,Jeruk DR,421,KG
2023-04-28,Jeruk DR,471,KG
2023-04-29,Jeruk DR,412,KG
2023-04-30,Jeruk DR,277,KG
2023-05-01,Jeruk DR,227,KG
2023-05-02,Jeruk DR,249,KG
2023-05-03,Jeruk DR,337,KG
2023-05-04,Jeruk DR,400,KG
2023-05-05,Jeruk DR,,KG
2023-05-06,Jeruk DR,371,KG
2023-05-07,Jeruk DR,,KG
2023-05-08,Jeruk DR,240,KG
2023-05-09,Jeruk DR,260,KG
2023-05-10,Jeruk DR,349,KG
2023-05-11,Jeruk DR,410,KG
2023-05-12,Jeruk DR,,KG
2023-05-13,Jeruk DR,409,KG
2023-05-14,Jeruk DR,244,KG
2023-05-15,Jeruk DR,246,KG
2023-05-16,Jeruk DR,258,KG
2023-05-17,Jeruk DR,,KG
2023-05-18,Jeruk DR,,KG
2023-05-19,Jeruk DR,459,KG
2023-05-20,Jeruk DR,387,KG
2023-05-21,Jeruk DR,254,KG
2023-05-22,Jeruk DR,231,KG
2023-05-23,Jeruk DR,254,KG
2023-05-24,Jeruk DR,,KG
2023-05-25,Jeruk DR,435,KG
2023-05-26,Jeruk DR,,KG
2023-05-27,Jeruk DR,410,KG
2023-05-28,Jeruk DR,286,KG
2023-05-29,Jeruk DR,276,KG
2023-05-30,Jeruk DR,308,KG
2023-05-31,Jeruk DR,389,KG
2023-06-01,Jeruk DR,,KG
2023-06-02,Jeruk DR,449,KG
2023-06-03,Jeruk DR,386,KG
2023-06-04,Jeruk DR,214,KG
2023-06-05,Jeruk DR,,KG
2023-06-06,Jeruk DR,270,KG
2023-06-07,Jeruk DR,349,KG
2023-06-08,Jeruk DR,410,KG
2023-06-09,Jeruk DR,465,KG
2023-06-10,Jeruk DR,389,KG
2023-06-11,Jeruk DR,234,KG
2023-06-12,Jeruk DR,228,KG
2023-06-13,Jeruk DR,254,KG
2023-06-14,Jeruk DR,337,KG
2023-06-15,Jeruk DR,,KG
2023-06-16,Jeruk DR,435,KG
2023-06-17,Jeruk DR,383,KG
2023-06-18,Jeruk DR,263,KG
2023-06-19,Jeruk DR,247,KG
2023-06-20,Jeruk DR,251,KG
2023-06-21,Jeruk DR,324,KG
2023-06-22,Jeruk DR,,KG
2023-06-23,Jeruk DR,449,KG
2023-06-24,Jeruk DR,368,KG
2023-06-25,Jeruk DR,,KG
2023-06-26,Jeruk DR,259,KG
2023-06-27,Jeruk DR,278,KG
2023-06-28,Jeruk DR,369,KG
2023-06-29,Jeruk DR,425,KG
2023-06-30,Jeruk DR,486,KG
2023-07-01,Jeruk DR,396,KG
2023-07-02,Jeruk DR,229,KG
2023-07-03,Jeruk DR,226,KG
2023-07-04,Jeruk DR,243,KG
2023-07-05,Jeruk DR,,KG
2023-07-06,Jeruk DR,404,KG
2023-07-07,Jeruk DR,458,KG
2023-07-08,Jeruk DR,373,KG
2023-07-09,Jeruk DR,237,KG
2023-07-10,Jeruk DR,256,KG
2023-07-11,Jeruk DR,,KG
2023-07-12,Jeruk DR,,KG
2023-07-13,Jeruk DR,,KG
2023-07-14,Jeruk DR,450,KG
2023-07-15,Jeruk DR,,KG
2023-07-16,Jeruk DR,237,KG
2023-07-17,Jeruk DR,240,KG
2023-07-18,Jeruk DR,,KG
2023-07-19,Jeruk DR,,KG
2023-07-20,Jeruk DR,390,KG
2023-07-21,Jeruk DR,443,KG
2023-07-22,Jeruk DR,,KG
2023-07-23,Jeruk DR,207,KG
2023-07-24,Jeruk DR,242,KG
2023-07-25,Jeruk DR,303,KG
2023-07-26,Jeruk DR,376,KG
2023-07-27,Jeruk DR,,KG
2023-07-28,Jeruk DR,486,KG
2023-07-29,Jeruk DR,420,KG
2023-07-30,Jeruk DR,272,KG
2023-07-31,Jeruk DR,271,KG
2023-08-01,Jeruk DR,251,KG
2023-08-02,Jeruk DR,,KG
2023-08-03,Jeruk DR,372,KG
2023-08-04,Jeruk DR,471,KG
2023-08-05,Jeruk DR,384,KG
2023-08-06,Jeruk DR,219,KG
2023-08-07,Jeruk DR,228,KG
2023-08-08,Jeruk DR,,KG
2023-08-09,Jeruk DR,,KG
2023-08-10,Jeruk DR,385,KG
2023-08-11,Jeruk DR,442,KG
2023-08-12,Jeruk DR,393,KG
2023-08-13,Jeruk DR,,KG
2023-08-14,Jeruk DR,,KG
2023-08-15,Jeruk DR,242,KG
2023-08-16,Jeruk DR,,KG
2023-08-17,Jeruk DR,399,KG
2023-08-18,Jeruk DR,447,KG
2023-08-19,Jeruk DR,381,KG
2023-08-20,Jeruk DR,242,KG
2023-08-21,Jeruk DR,,KG
2023-08-22,Jeruk DR,,KG
2023-08-23,Jeruk DR,,KG
2023-08-24,Jeruk DR,,KG
2023-08-25,Jeruk DR,467,KG
2023-08-26,Jeruk DR,407,KG
2023-08-27,Jeruk DR,,KG
2023-08-28,Jeruk DR,264,KG
2023-08-29,Jeruk DR,,KG
2023-08-30,Jeruk DR,357,KG
2023-08-31,Jeruk DR,,KG
2023-09-01,Jeruk DR,453,KG
2023-09-02,Jeruk DR,382,KG
2023-09-03,Jeruk DR,212,KG
2023-09-04,Jeruk DR,202,KG
2023-09-05,Jeruk DR,224,KG
2023-09-06,Jeruk DR,315,KG
2023-09-07,Jeruk DR,362,KG
2023-09-08,Jeruk DR,423,KG
2023-09-09,Jeruk DR,,KG
2023-09-10,Jeruk DR,,KG
2023-09-11,Jeruk DR,,KG
2023-09-12,Jeruk DR,249,KG
2023-09-13,Jeruk DR,,KG
2023-09-14,Jeruk DR,384,KG
2023-09-15,Jeruk DR,,KG
2023-09-16,Jeruk DR,361,KG
2023-09-17,Jeruk DR,207,KG
2023-09-18,Jeruk DR,206,KG
2023-09-19,Jeruk DR,237,KG
2023-09-20,Jeruk DR,320,KG
2023-09-21,Jeruk DR,367,KG
2023-09-22,Jeruk DR,,KG
2023-09-23,Jeruk DR,,KG
2023-09-24,Jeruk DR,213,KG
2023-09-25,Jeruk DR,248,KG
2023-09-26,Jeruk DR,282,KG
2023-09-27,Jeruk DR,360,KG
2023-09-28,Jeruk DR,402,KG
2023-09-29,Jeruk DR,,KG
2023-09-30,Jeruk DR,391,KG
2023-10-01,Jeruk DR,201,KG
2023-10-02,Jeruk DR,,KG
2023-10-03,Jeruk DR,232,KG
2023-10-04,Jeruk DR,,KG
2023-10-05,Jeruk DR,404,KG
2023-10-06,Jeruk DR,,KG
2023-10-07,Jeruk DR,357,KG
2023-10-08,Jeruk DR,214,KG
2023-10-09,Jeruk DR,223,KG
2023-10-10,Jeruk DR,234,KG
2023-10-11,Jeruk DR,,KG
2023-10-12,Jeruk DR,,KG
2023-10-13,Jeruk DR,417,KG
2023-10-14,Jeruk DR,357,KG
2023-10-15,Jeruk DR,205,KG
2023-10-16,Jeruk DR,203,KG
2023-10-17,Jeruk DR,,KG
2023-10-18,Jeruk DR,310,KG
2023-10-19,Jeruk DR,373,KG
2023-10-20,Jeruk DR,,KG
2023-10-21,Jeruk DR,343,KG
2023-10-22,Jeruk DR,,KG
2023-10-23,Jeruk DR,193,KG
2023-10-24,Jeruk DR,215,KG
2023-10-25,Jeruk DR,,KG
2023-10-26,Jeruk DR,393,KG
2023-10-27,Jeruk DR,,KG
2023-10-28,Jeruk DR,399,KG
2023-10-29,Jeruk DR,,KG
2023-10-30,Jeruk DR,241,KG
2023-10-31,Jeruk DR,251,KG
2023-11-01,Jeruk DR,278,KG
2023-11-02,Jeruk DR,341,KG
2023-11-03,Jeruk DR,,KG
2023-11-04,Jeruk DR,344,KG
2023-11-05,Jeruk DR,190,KG
2023-11-06,Jeruk DR,187,KG
2023-11-07,Jeruk DR,224,KG
2023-11-08,Jeruk DR,,KG
2023-11-09,Jeruk DR,353,KG
2023-11-10,Jeruk DR,,KG
2023-11-11,Jeruk DR,308,KG
2023-11-12,Jeruk DR,154,KG
2023-11-13,Jeruk DR,173,KG
2023-11-14,Jeruk DR,199,KG
2023-11-15,Jeruk DR,298,KG
2023-11-16,Jeruk DR,362,KG
2023-11-17,Jeruk DR,404,KG
2023-11-18,Jeruk DR,344,KG
2023-11-19,Jeruk DR,205,KG
2023-11-20,Jeruk DR,214,KG
2023-11-21,Jeruk DR,229,KG
2023-11-22,Jeruk DR,,KG
2023-11-23,Jeruk DR,345,KG
2023-11-24,Jeruk DR,416,KG
2023-11-25,Jeruk DR,385,KG
2023-11-26,Jeruk DR,268,KG
2023-11-27,Jeruk DR,246,KG
2023-11-28,Jeruk DR,266,KG
2023-11-29,Jeruk DR,344,KG
2023-11-30,Jeruk DR,,KG
2023-12-01,Jeruk DR,,KG
2023-12-02,Jeruk DR,354,KG
2023-12-03,Jeruk DR,213,KG
2023-12-04,Jeruk DR,186,KG
2023-12-05,Jeruk DR,,KG
2023-12-06,Jeruk DR,297,KG
2023-12-07,Jeruk DR,,KG
2023-12-08,Jeruk DR,409,KG
2023-12-09,Jeruk DR,342,KG
2023-12-10,Jeruk DR,188,KG
2023-12-11,Jeruk DR,,KG
2023-12-12,Jeruk DR,220,KG
2023-12-13,Jeruk DR,308,KG
2023-12-14,Jeruk DR,381,KG
2023-12-15,Jeruk DR,452,KG
2023-12-16,Jeruk DR,,KG
2023-12-17,Jeruk DR,196,KG
2023-12-18,Jeruk DR,176,KG
2023-12-19,Jeruk DR,,KG
2023-12-20,Jeruk DR,311,KG
2023-12-21,Jeruk DR,,KG
2023-12-22,Jeruk DR,373,KG
2023-12-23,Jeruk DR,340,KG
2023-12-24,Jeruk DR,204,KG
2023-12-25,Jeruk DR,233,KG
2023-12-26,Jeruk DR,281,KG
2023-12-27,Jeruk DR,,KG
2023-12-28,Jeruk DR,411,KG
2023-12-29,Jeruk DR,461,KG
2023-12-30,Jeruk DR,369,KG
2023-12-31,Jeruk DR,,KG
2024-01-01,Jeruk DR,181,KG
2024-01-02,Jeruk DR,,KG
2024-01-03,Jeruk DR,314,KG
2024-01-04,Jeruk DR,369,KG
2024-01-05,Jeruk DR,421,KG
2024-01-06,Jeruk DR,,KG
2024-01-07,Jeruk DR,199,KG
2024-01-08,Jeruk DR,213,KG
2024-01-09,Jeruk DR,219,KG
2024-01-10,Jeruk DR,314,KG
2024-01-11,Jeruk DR,363,KG
2024-01-12,Jeruk DR,437,KG
2024-01-13,Jeruk DR,376,KG
2024-01-14,Jeruk DR,,KG
2024-01-15,Jeruk DR,208,KG
2024-01-16,Jeruk DR,,KG
2024-01-17,Jeruk DR,317,KG
2024-01-18,Jeruk DR,383,KG
2024-01-19,Jeruk DR,390,KG
2024-01-20,Jeruk DR,348,KG
2024-01-21,Jeruk DR,,KG
2024-01-22,Jeruk DR,,KG
2024-01-23,Jeruk DR,236,KG
2024-01-24,Jeruk DR,335,KG
2024-01-25,Jeruk DR,,KG
2024-01-26,Jeruk DR,463,KG
2024-01-27,Jeruk DR,395,KG
2024-01-28,Jeruk DR,243,KG
2024-01-29,Jeruk DR,252,KG
2024-01-30,Jeruk DR,271,KG
2024-01-31,Jeruk DR,358,KG
2024-02-01,Jeruk DR,366,KG
2024-02-02,Jeruk DR,424,KG
2024-02-03,Jeruk DR,,KG
2024-02-04,Jeruk DR,221,KG
2024-02-05,Jeruk DR,,KG
2024-02-06,Jeruk DR,254,KG
2024-02-07,Jeruk DR,,KG
2024-02-08,Jeruk DR,,KG
2024-02-09,Jeruk DR,420,KG
2024-02-10,Jeruk DR,349,KG
2024-02-11,Jeruk DR,239,KG
2024-02-12,Jeruk DR,246,KG
2024-02-13,Jeruk DR,233,KG
2024-02-14,Jeruk DR,325,KG
2024-02-15,Jeruk DR,,KG
2024-02-16,Jeruk DR,435,KG
2024-02-17,Jeruk DR,,KG
2024-02-18,Jeruk DR,,KG
2024-02-19,Jeruk DR,,KG
2024-02-20,Jeruk DR,230,KG
2024-02-21,Jeruk DR,,KG
2024-02-22,Jeruk DR,377,KG
2024-02-23,Jeruk DR,433,KG
2024-02-24,Jeruk DR,368,KG
2024-02-25,Jeruk DR,264,KG
2024-02-26,Jeruk DR,265,KG
2024-02-27,Jeruk DR,264,KG
2024-02-28,Jeruk DR,,KG
2024-02-29,Jeruk DR,,KG
2024-03-01,Jeruk DR,440,KG
2024-03-02,Jeruk DR,395,KG
2024-03-03,Jeruk DR,238,KG
2024-03-04,Jeruk DR,228,KG
2024-03-05,Jeruk DR,255,KG
2024-03-06,Jeruk DR,346,KG
2024-03-07,Jeruk DR,383,KG
2024-03-08,Jeruk DR,441,KG
2024-03-09,Jeruk DR,,KG
2024-03-10,Jeruk DR,,KG
2024-03-11,Jeruk DR,,KG
2024-03-12,Jeruk DR,,KG
2024-03-13,Jeruk DR,,KG
2024-03-14,Jeruk DR,,KG
2024-03-15,Jeruk DR,444,KG
2024-03-16,Jeruk DR,394,KG
2024-03-17,Jeruk DR,244,KG
2024-03-18,Jeruk DR,250,KG
2024-03-19,Jeruk DR,,KG
2024-03-20,Jeruk DR,,KG
2024-03-21,Jeruk DR,,KG
2024-03-22,Jeruk DR,472,KG
2024-03-23,Jeruk DR,,KG
2024-03-24,Jeruk DR,,KG
2024-03-25,Jeruk DR,259,KG
2024-03-26,Jeruk DR,294,KG
2024-03-27,Jeruk DR,376,KG
2024-03-28,Jeruk DR,,KG
2024-03-29,Jeruk DR,484,KG
2024-03-30,Jeruk DR,423,KG
2024-03-31,Jeruk DR,283,KG
2024-04-01,Jeruk DR,249,KG
2024-04-02,Jeruk DR,272,KG
2024-04-03,Jeruk DR,,KG
2024-04-04,Jeruk DR,,KG
2024-04-05,Jeruk DR,418,KG
2024-04-06,Jeruk DR,,KG
2024-04-07,Jeruk DR,,KG
2024-04-08,Jeruk DR,281,KG
2024-04-09,Jeruk DR,,KG
2024-04-10,Jeruk DR,,KG
2024-04-11,Jeruk DR,439,KG
2024-04-12,Jeruk DR,,KG
2024-04-13,Jeruk DR,387,KG
2024-04-14,Jeruk DR,,KG
2024-04-15,Jeruk DR,233,KG
2024-04-16,Jeruk DR,265,KG
2024-04-17,Jeruk DR,350,KG
2024-04-18,Jeruk DR,406,KG
2024-04-19,Jeruk DR,465,KG
2024-04-20,Jeruk DR,,KG
2024-04-21,Jeruk DR,217,KG
2024-04-22,Jeruk DR,229,KG
2024-04-23,Jeruk DR,,KG
2024-04-24,Jeruk DR,,KG
2024-04-25,Jeruk DR,455,KG
2024-04-26,Jeruk DR,500,KG
2024-04-27,Jeruk DR,,KG
2024-04-28,Jeruk DR,282,KG
2024-04-29,Jeruk DR,298,KG
2024-04-30,Jeruk DR,316,KG
2024-05-01,Jeruk DR,,KG
2024-05-02,Jeruk DR,406,KG
2024-05-03,Jeruk DR,,KG
2024-05-04,Jeruk DR,,KG
2024-05-05,Jeruk DR,253,KG
2024-05-06,Jeruk DR,254,KG
2024-05-07,Jeruk DR,,KG
2024-05-08,Jeruk DR,354,KG
